,br,inserent_plz,title,inserent_location,clicks7d,label,lat,lng
90,43470260,53119,Elektronikerin / Elektroniker (w/m/d),Bonn,27,0,50.74391139999999,7.0627318
91,43663063,52134,Produktmanager GaN (w/m/d) in der Halbleiterindustrie,Herzogenrath,25,0,50.8840217,6.1086614
92,40332117,76185,Incident Response Manager (w/m/d),Karlsruhe,34,0,49.0072171,8.352578099999999
93,38824143,90587,Pflegefachkraft Wundexperte (w/m/d),Veitsbronn,22,0,49.511351,10.8893324
94,35844954,64293,Ergotherapeut/-in (m/w/d),Darmstadt,22,0,49.87763469999999,8.6285366
95,36310612,78713,Inbetriebnehmer / Mechatroniker / Elektroniker - elektrische Taktmontage (m/w/d),Schramberg-Waldmössingen,22,0,48.2341583,8.4374662
96,39163939,89160,Applikationsingenieur Lasertechnik (m/w/d),Dornstadt,26,0,48.4844561,9.8946464
97,38864809,55131,Projektleiter*in (m/w/d),Mainz,47,0,49.9889241,8.2716688
98,39037812,94469,Beamte:r / Angestellte:r (d/m/w) für das Referat Einkauf,Deggendorf,52,0,48.8456799,12.9779283
99,42449546,95445,Pflegefachkräfte (m/w/d) für die Aufnahmestation/Chest Pain Unit,Bayreuth,16,0,49.9517152,11.5608931
100,42370596,81829,Projektingenieur (m/w/d) Verkehrsanlagen mit dem Schwerpunkt Trassierung Eisenbahnverkehrsanlagen,München,17,0,48.1383204,11.6875629
101,39912322,94469,Fakultätsassistenz (d/m/w) an der Fakultät Angewandte Gesundheitswissenschaften,Deggendorf,32,0,48.8456799,12.9779283
102,39888588,50858,Verkäufer*in (m/w/d),Köln,26,0,50.9210017,6.854136
103,37243211,68161,Senior Accountant / Bilanzbuchhalter (m/w/d),Mannheim,18,0,49.4861656,8.470261599999999
104,35245713,95445,Pflegefachkraft (m/w/d) für die Klinik für Schädel-Hirn-Verletzte/Neurorehabilitation Phase B,Bayreuth,40,0,49.9517152,11.5608931
105,37906480,96450,Senior Data Scientist Claims (w/m/d),Coburg,20,0,50.255698,10.9550818
106,35913732,49477,Projektleiter Gebäudeautomation (m/w/d),Ibbenbüren,35,0,52.2750008,7.7099696
107,38614465,80336,Referent Energiepolitik und Regulierung (m/w/d),München,23,0,48.1340355,11.5571732
108,38072317,91074,Application and Integration Engineer for Electric Axle Drives (m/w/d),Herzogenaurach,28,0,49.5782416,10.8819032
109,35935631,80539,Anlagenbuchhalter*in,München,28,0,48.1447027,11.5821606
110,39452161,60528,Sachgebietsleiter:in (w/m/d) Einkauf,Frankfurt,14,0,50.0734195,8.6361502
111,38968573,25421,Projektleiter (m/w/d) Projektentwicklung Hochbau,Pinneberg,42,0,53.6466311,9.7859847
112,36238755,60329,IT Application Operator (m/w/d),Frankfurt,36,0,50.10600059999999,8.6677324
113,39229827,71154,Mechatroniker / Elektroniker Prüfmittelbau (m/w/d),Nufringen,31,0,48.6219403,8.8964043
